feature,importance
CompetitionDistance,1319
Store,1108
CompetitionOpenSinceYear,484
CompetitionOpenSinceMonth,470
Promo2SinceWeek,302
Day,285
DayOfWeek,267
Promo2SinceYear,266
CompDistance_Log,258
StoreType_Encoded,243
Assortment_Encoded,205
DaysSinceStart,188
Week,171
Month,126
Promo,112
Promo2,82
CompetitionAge,72
SchoolHoliday,20
IsWeekend,10
IsStateHoliday,8
Year,2
Quarter,2
Open,0
